tickers,avg_sentiment,tweet_count
LEMONTREE.NSE,0.20455,4
LICI.NSE,0.0,1
LIKHITHA.NSE,0.6486,1
LINDEINDIA.NSE,0.6124,1
LODHA.NSE,-0.12855,2
LSIL.NSE,0.7783,1
LT.NSE,0.3759909090909091,11
LTI.NSE,0.49036,5
LTIM.NSE,-0.3612,1
LTTS.NSE,0.7096,1
LUPIN.NSE,-0.4767,1
LXCHEM.NSE,-0.2997,2
LYKALABS.NSE,0.0,1
MAHABANK.NSE,0.3612,1
MAHEPC.NSE,0.4019,1
MAHINDCIE.NSE,0.25875000000000004,2
MAHLIFE.NSE,-0.1911,2
MAHLOG.NSE,0.2003,1
MANAPPURAM.NSE,0.61235,2
MAPMYINDIA.NSE,0.4404,1
MARALOVER.NSE,0.0,1
MARICO.NSE,0.10015,2
MARUTI.NSE,0.0791,9
MASTEK.NSE,-0.1779,1
MAZDOCK.NSE,0.5754,1
MBAPL.NSE,0.0,1
MCX.NSE,0.4404,1
MGL.NSE,0.2695,1
MHRIL.NSE,0.5106,1
MINDSPACE.NSE,0.5574,1
MINDTREE.NSE,0.5258888888888889,9
MOTHERSON.NSE,0.4404,1
MPHASIS.NSE,0.3617666666666666,12
MRF.NSE,0.8402,1
MRPL.NSE,-0.05013333333333333,3
MUKANDLTD.NSE,0.0,1
MUTHOOTFIN.NSE,0.9287,1
NAFT.X,0.7971,1
NAUKRI.NSE,-0.11315,2
NAZARA.NSE,0.705,1
NCC.NSE,-0.7579,1
NESTLEIND.NSE,0.08595,2
NIFTY100.NSE,0.1755179104477612,67
NIFTY50.NSE,0.2772726053639847,2088
NIFTY50.NSEnifty50,0.5413,1
NIFTY500.NSE,0.3471594594594594,37
NIFTYAUTO.NSE,0.14430833333333334,24
NIFTYBANK.NSE,0.35938156911581565,803
NIFTYBEES.NSE,0.5955,2
NIFTYENERGY.NSE,0.3878166666666667,6
NIFTYFINSERVICE.NSE,0.07952,5
NIFTYFMCG.NSE,0.53555,6
NIFTYINFRA.NSE,0.03333333333333335,3
NIFTYIT.NSE,0.20529350649350647,77
NIFTYMETAL.NSE,0.2610111111111111,9
NIFTYMIDCAP100.NSE,0.3331894736842105,19
NIFTYNEXT50.NSE,0.6430750000000001,4
NIFTYPSE.NSE,0.10115,2
NIFTYPSUBANK.NSE,0.4990363636363636,11
NIFTYREALTY.NSE,0.73595,2
NIFTYSERVSECTOR.NSE,-0.296,1
NIFTYSMLCAP100.NSE,0.27518461538461536,13
NIRAJ.NSE,0.0,1
NMDC.NSE,0.0752,1
NSEINDIA.P,0.19017647058823528,17
NTPC.NSE,0.6705,1
NUVOCO.NSE,0.0,1
NYKAA.NSE,0.050111111111111106,9
Nifty50.NSE,0.4721705357142857,112
OBEROIRLTY.NSE,0.11895,4
OFSS.NSE,0.765,1
OLECTRA.NSE,0.0,1
ONGC.NSE,-0.31341,10
ORIENTELEC.NSE,0.0,1
ORIENTHOT.NSE,0.5106,1
PANAMAPET.NSE,0.0,1
PARAGMILK.NSE,0.0,1
PAYTM.NSE,0.31525384615384616,13
PAYTM.P,0.0,1
PEL.NSE,0.0,1
PERSISTENT.NSE,0.013500000000000012,4
PHOENIXLTD.NSE,0.0,1
PNB.NSE,0.16308333333333333,6
PNCINFRA.NSE,0.2144,1
POLICYBZR.NSE,0.2616,4
POLYCAB.NSE,-0.2287,2
PONNIERODE.NSE,0.0,1
POWERGRID.NSE,-0.7579,1
PRAJIND.NSE,0.9186,1
PRAKASH.NSE,0.0,1
PSB.NSE,-0.0793,2
PSUBNKBEES.NSE,0.4404,1
PUNJABCHEM.NSE,0.0,1
PVR.NSE,0.128,1
RAILTEL.NSE,0.0,1
RAIN.NSE,0.3182,5
RAJESHEXPO.NSE,0.7845,1
RALLIS.NSE,0.0,1
RAMCOCEM.NSE,-0.508,1
RAMCOIND.NSE,0.0,2
RATNAMANI.NSE,0.2695,1
RBLBANK.NSE,0.2846,1
REDINGTON.NSE,0.4158,2
RELCAPITAL.NSE,0.3365,1
RELIANCE.NSE,0.22790932297447283,901
RELINFRA.NSE,0.3365,1
RIIL.NSE,0.16825,2
RKFORGE.NSE,0.0637,2
ROUTE.NSE,0.0,1
RPOWER.NSE,0.3365,1
RPSGVENT.NSE,0.0,1
RSWM.NSE,0.0,1
RVNL.NSE,0.06916666666666665,6
SAFEMOON.X,0.7971,1
SANGHVIMOV.NSE,0.0,1
SANOFI.NSE,-0.0284,1
SBICARD.NSE,0.0,1
SBILIFE.NSE,0.10115,2
SBIN.NSE,0.355872,50
SCHAEFFLER.NSE,0.2003,2
SCI.NSE,0.0,1
SELAN.NSE,0.0,1
SEQUENT.NSE,0.6428,1
SETUINFRA.NSE,0.0,1
SHANTIGEAR.NSE,-0.2247,1
SHOPERSTOP.NSE,0.2003,1
SHREECEM.NSE,0.4328,2
SHYAMMETL.NSE,0.0,1
SIS.NSE,0.0,1
SOBHA.NSE,-0.15246666666666667,3
SOMANYCERA.NSE,0.0772,1
SONATSOFTW.NSE,0.5624,5
SRF.NSE,0.3877,3
STOCKX.P,0.3889666666666667,3
STWIT.P,0.6107666666666667,9
SUMICHEM.NSE,-0.4574,1
SUNDARMFIN.NSE,0.4588,1
SUNDRMFAST.NSE,0.5848,1
SUNPHARMA.NSE,0.320575,4
SUNTV.NSE,0.0,2
SUPRAJIT.NSE,0.0752,1
SUZLON.NSE,0.15863333333333332,3
SYMPHONY.NSE,0.0,2
TANLA.NSE,-0.2997,2
TATACHEM.NSE,0.6686000000000001,2
TATACONSUM.NSE,0.32680000000000003,4
TATAELXSI.NSE,0.49135,8
TATAMETALI.NSE,0.7845,1
TATAMOTORS.NSE,0.2798857142857143,21
TATAPLAY.P,0.8758,1
TATAPOWER.NSE,0.48303333333333337,6
TATASTEEL.NSE,0.4236714285714286,14
TCIEXP.NSE,-0.4574,1
TCS.NSE,0.1941931242460796,829
TEAMLEASE.NSE,0.0,2
TECHM.NSE,-0.11583000000000002,20
THERMAX.NSE,-0.4574,1
TINPLATE.NSE,0.7845,1
TIPSINDLTD.NSE,0.78185,2
TITAN.NSE,0.25875000000000004,2
TRACXN.NSE,0.6588,1
TRF.NSE,0.7845,1
TRIDENT.NSE,0.4404,1
TRITURBINE.NSE,0.6249,1
TRIVENI.NSE,0.2695,1
TTML.NSE,0.1072,2
TVSMOTOR.NSE,0.0,1
UJJIVAN.NSE,0.6369,1
ULTRACEMCO.NSE,-0.27986666666666665,3
UMANGDAIRY.NSE,0.0,1
UNIDT.NSE,0.41169999999999995,2
UNIENTER.NSE,0.6249,1
UNIONBANK.NSE,0.6369,1
UNIPARTS.NSE,-0.128,1
UPL.NSE,0.2795666666666667,3
VADILALIND.NSE,0.0,2
VBL.NSE,0.40486666666666665,3
VEDL.NSE,0.4427375,8
VENKEYS.NSE,0.0,1
VGUARD.NSE,-0.4574,1
VINATIORGA.NSE,-0.254,2
WABAG.NSE,-0.4574,2
WELSPUNIND.NSE,0.0,2
WESTLIFE.NSE,0.4588,1
WIPRO.NSE,0.17216819571865444,654
WONDERLA.NSE,-0.15385,2
YESBANK.NSE,0.21955555555555556,9
ZEEL.NSE,0.0,1
ZENSARTECH.NSE,0.6369,1
ZERODHA.P,0.5994,1
ZOMATO.NSE,0.2479,12
ZYDUSLIFE.NSE,-0.2287,2
